Arabic,English,Hebrew,Russian,French
هذ,this,זֶה,этот,ce
تعيشين,You live,אתה חי,Вы живете,Tu vis
كام,Core,הליבה,Основной,Cœur
حبيب,dear,אהוב,дорогой,cher
قبول,Acceptance,קַבָּלָה,Принятие,Acceptation
عيناي,My eyes,העיניים שלי,Мои глаза,Mes yeux
كافة,all,את כל,все,tous
فتحة,slot,חָרִיץ,слот,fente
فذلك,That is,זה,То есть,C'est
ياالهي,"Oh, my God",אלוהים,Боже мой,Oh mon Dieu
أكرهك,I hate you,אני שונאת אותך,я тебя ненавижу,Je te déteste
الصديق,the friend,החבר,друг,l'ami
اوكي,okay,בסדר,хорошо,d'accord
آخرون,others,אחרים,другие,autres
الكعكة,the cake,העוגה,торт,le gâteau
زر,button,לַחְצָן,кнопка,bouton
حصلتُ,I got,יש לי,я получил,j'ai eu
الوحدات,Units,יחידות,Единицы,Unités
كالعادة,As usual,כרגיל,По-прежнему,Comme d'habitude
الانتقام,Revenge,נְקָמָה,Месть,Vengeance
أخبركم,I tell you,אני אומר לך,Я говорю вам,Je vous le dis
علية,on him,עליו,на него,sur lui
وأبي,And my father,ואבי,И мой отец,Et mon père
الرسمي,the official,הרשמי,официальный,l'officiel
إنَّ,that,זֶה,что,ce
تمنيت,I wished,הלוואי,я пожелал,je souhaitais
نحضر,We bring,אנחנו מביאים,Мы приносим,Nous apportons
فإنّ,That,זֶה,Что,Ce
وصلوا,Arrived,הגיע,Приехал,Arrivé
النجم,Star,כוכב,Звезда,Étoile
بلير,Blair,בלייר,Блэр,Blair
يجعلنا,makes us,עושה אותנו,делает нас,nous fait
لوجه,To the face,לפנים,К лицу,Au visage
طيباً,Good,טוֹב,Хороший,Bien
أعطى,gave,נתן,отдал,a donné
سنبقى,We will remain,נשאר,Мы останемся,Nous resterons
اتكلم,I speak,אני מדבר,я говорю,je parle
لاشئ,nothing,אין דבר,ничего,rien
أحضري,Bring,לְהָבִיא,Приносить,Apporter
يختفي,Disappears,נעלם,Исчезает,Disparaît
الخضراء,Green,ירוק,Зеленый,Vert
محرك,engine,מנוע,двигатель,moteur
سياتل,Seattle,סיאטל,Сиэтл,Seattle
جواز,Permissibility,היתר,Допустимость,Perméabilité
الضربة,the hit,המכה,Хит,le coup
البيانو,the piano,הפסנתר,пианино,le piano
الرحمة,mercy,רַחֲמִים,милосердие,miséricorde
ليله,a night,לילה,ночь,une nuit
تعترف,Admit,להתוודות,Признавать,Admettre
لليلة,For a night,ללילה,На ночь,Pour une nuit
أسمه,its name,שמו,его имя,son nom
الأصلي,the original,המקורי,оригинал,l'original
وصف,a description,תיאור,описание,une description
الورقة,the paper,הנייר,бумага,le papier
تريدها,You want it,אתה רוצה את זה,Ты хочешь это,Tu le veux
ويمكنك,And you can,ואתה יכול,И вы можете,Et tu peux
الأخرين,Others,אחרים,Другие,Autres
المنافسة,The competition,התחרות,Конкурс,La compétition
تستمتع,Enjoy,תהנה,Наслаждаться,Apprécier
قتلهم,Kill them,להרוג אותם,Убей их,Tue-les
يومياً,Daily,יום יומי,Ежедневно,Quotidien
اربعة,four,ארבעה,четыре,quatre
اختار,to choose,לבחור,выбирать,choisir
صادقة,Honest,יָשָׁר,Честный,Honnête
الآباء,parents,הורים,родители,parents
النوافذ,Windows,חלונות,Окна,Fenetre
ديانا,Diana,דיאנה,Диана,Diane
ميا,Mia,מיה,Миа,Mia
نتصل,Call,שִׂיחָה,Вызов,Appel
أصبحنا,We became,הפכנו,Мы стали,Nous sommes devenus
لهُ,for him,לו,для него,pour lui
بحياة,Life,חַיִים,Жизнь,Vie
شركاء,partners,שותפים,партнеры,les partenaires
أحمد,Ahmed,אחמד,Ахмед,Ahmed
نقص,loss,הֶפסֵד,потеря,perte
اس,S.,שִׁפּוּס,Сб.,S.
تسرق,Steal,לִגנוֹב,Воровать,Voler
البرد,the cold,הקור,простуда,le froid
كاثي,Cathy,קתי,Кэти,Cathy
زميل,peer,עמית,вглядеться,pair
ممرضة,nurse,אָחוֹת,медсестра,infirmière
المجرم,Criminal,פְּלִילִי,Преступник,Criminel
عجب,wonder,פֶּלֶא,удивляться,merveille
التعليم,education,לימודים,образование,éducation
اللجنة,The Commission,הוועדה,Комиссия,La Commission
ليلا,night,לַיְלָה,ночь,nuit
الشريرة,Sheriff,שֶׁרִיף,Шериф,La méchante
ستأخذ,You will take,אתה תיקח,Вы возьмете,Vous prendrez
فون,Von,פון,Фон,Von
النفق,Tunnel,מִנהָרָה,Туннель,Tunnel
عميلة,Client,לָקוּחַ,Клиент,Client
لنقم,Let us,בואו,Давайте,Laissez-nous
علاقات,Relations,יחסים,связи,Rapports
لقول,To say,לומר,Сказать,Dire
مسبقا,pre-,מִרֹאשׁ,до-,pré-
رواية,a novel,רומן,Роман,un roman
الحسابات,the accounts,החשבונות,счета,les comptes
بأشياء,With things,עם דברים,С вещами,Avec des choses
أعطيتني,you gave me,אתה נתת לי,ты дал мне,Tu m'as donné
اشكرك,I thank you,אני מודה לך,Я благодарю тебя,Je te remercie
ثانياً,secondly,שנית,во-вторых,deuxièmement
القاعة,the hall,המסדרון,зал,le hall
مسرحية,a play,משחק,игра,un pièce
أقلق,worry,דאגה,волноваться,inquiétude
بداخلي,inside of me,בתוכי,внутри меня,à l'intérieur de moi
مي,May,מאי,Может,Peut
رجُل,man,איש,мужчина,homme
أدريان,Adrian,אדריאן,Адриан,Adrian
العشرين,Twenty,עשרים,Двадцать,Vingt
ستبدأ,will start,יתחיל,начнет,va commencer
الدرس,the lesson,השיעור,урок,la leçon
أخبريه,Tell him,תגיד לו,Скажи ему,Dit lui
تخمين,Guess,לְנַחֵשׁ,Предполагать,Deviner
وظيفتك,Your job,העבודה שלך,Твоя работа,Votre travail
الإسعاف,Ambulance,אַמבּוּלַנס,Скорая помощь,Ambulance
إهانة,insult,לְהַעֲלִיב,оскорблять,insulte
بري,Wild,פְּרָאִי,Дикий,Sauvage
أشعة,rays,קרניים,лучи,des rayons
الأعضاء,Members,חברים,Члены,Membres
تام,Complete,לְהַשְׁלִים,Полный,Complet
جسر,bridge,לְגַשֵׁר,мост,pont
العلماء,Scholars,חוקרים,Ученые,Savants
رائحته,Its smell,הריח שלו,Его запах,Son odeur
والدى,my father,אבא שלי,мой отец,Mon père
الخطاب,the speech,הנאום,речь,le discours
الانتقال,moving in,עוברים פנימה,переезжая,déménager
مـع,With with,עם עם,С,Avec avec
الاحتفاظ,Retain,לִשְׁמוֹר,Удерживать,Retenir
كبرت,I grew up,אני גדלתי,я вырос,j'ai grandi
نظري,theoretical,תֵאוֹרֵטִי,теоретический,théorique
سارا,Pleasure,הנאה,Удовольствие,Plaisir
اخري,Other,אחרת,Другой,Autre
تمثل,Represent,לְיַצֵג,Представлять,Représenter
العصر,age,גיל,возраст,âge
أنـت,You,אתה,Ты,Toi
حجز,reservation,הזמנה,бронирование,réservation
فيغاس,Figas,FIGAS,Фигура,Figas
ويندي,Windy,סוער,Ветреный,Venteux
جديده,New,חָדָשׁ,Новый,Nouveau
جولز,Gols,גולס,Голс,Gols
التقنية,Technology,טֶכנוֹלוֹגִיָה,Технологии,Technologie
تبيع,Sell,מכירה,Продавать,Vendre
الغربية,Western,מערבי,Западный,Occidental
الكأس,the cup,הכוס,Кубок,la tasse
خبز,bread,לחם,хлеб,pains
مصادفة,accidental,מִקרִי,случайный,accidentel
الأهم,More important,חשוב יותר,Более важный,Plus important
لطف,kindness,חסד,доброта,gentillesse
افتحي,Open,לִפְתוֹחַ,Открыть,Ouvrir
لأنّني,because I,כי אני,потому что я,parce que je
سيرينا,Serena,סרינה,Серена,Serena
جنسي,Sexual,מִינִי,Сексуальный,Sexuel
سابقة,precedent,תקדים,прецедент,précédent
الطرف,Party,מפלגה,Вечеринка,Faire la fête
نتحدّث,we are talking,נשוחח,мы разговариваем,nous parlons
أحتفظ,keep,לִשְׁמוֹר,держать,donjon
الغباء,Stupidity,טִפּשׁוּת,Глупость,Stupidité
يضرب,He hits,הוא פוגע,Он бьет,Il frappe
يزداد,Increasing,גָדֵל,Увеличиваясь,En augmentant
بداخلك,Inside you,בתוכך,Внутри вас,À l'intérieur de toi
يفقد,Losing,לאבד,Проиграв,Perdant
حيا,Alive,בחיים,Живой,Vivant
أعدكِ,I promise you,אני מבטיח לך,я обещаю тебе,Je te promets
سيجارة,cigarette,סִיגַרִיָה,сигарета,cigarette
ثلاثون,thirty,שלושים,тридцать,trente
قلتَ,I said,אמרת,Я сказал,J'ai dit
توقيت,timing,תִזמוּן,время,Horaire
زواجنا,Our marriage,הנישואים שלנו,Наш брак,Notre mariage
أيه,any,פסוק בקוראן,любой,n'importe quel
داخلية,Interior,פְּנִים,Интерьер,Intérieur
البار,bar,בַּר,бар,bar
غريبا,Strange,מוּזָר,Странный,Étrange
سـ,Q,ש,Q.,Q
الإمساك,Constipation,עצירות,Запор,Constipation
بحذر,cautiously,בִּזְהִירוּת,осторожно,avec prudence
مفيدة,Useful,מוֹעִיל,Полезный,Utile
المصنع,the factory,המפעל,фабрика,l'usine
وجدناه,We found it,מצאנו את זה,Мы нашли это,Nous l'avons trouvé
جدياً,seriously,ברצינות,серьезно,sérieusement
انتهي,I finish,נגמר,Я заканчиваю,Je finis
ترجع,Return,לַחֲזוֹר,Возвращаться,Retour
يقم,Stand up,תעמוד,Вставать,Se lever
أتمنّى,I hope,אני מקווה,Я надеюсь,J'espère
الأيمن,Right,ימין,Верно,Droite
احيانا,sometimes,לִפְעָמִים,иногда,parfois
يستطيعوا,They can,הם יכולים,Они могут,Ils peuvent
أحس,feel,להרגיש,чувствовать,se sentir
الدخان,Smoke,עָשָׁן,Дымка,Fumée
حولنا,Transform,שינוי צורה,Преобразование,Transformer
حمداً,Praise,שֶׁבַח,Хвалить,Louer
وعشرون,Twenty,עשרים,Двадцать,Vingt
المحمول,Mobile,נייד,Мобильный,Mobile
قصد,Intend,כוונה,Намереваться,Intention
مخطط,a plan,תוכנית,план,un plan
مخلوق,creature,יְצוּר,существо,créature
الكاهن,Priest,כּוֹמֶר,Священник,Prêtre
المهنية,Professionalism,מִקצוֹעִיוּת,Профессионализм,Professionnalisme
باستمرار,continuously,ברציפות,непрерывно,en continu
طعم,Taste,טַעַם,Вкус,Goût
أحببته,loved it,אהבתי את זה,Мне понравилось,J'ai adoré
عامة,General,כללי,Общий,Général
قصدت,I meant,התכוונתי,я имел в виду,je voulais dire
بيض,egg,ביצים,яйцо,œuf
نأتي,We come,אנחנו באים,Мы приходим,Nous venons
خذني,Take me,קח אותי,Возьмите меня,Prenez-moi
أسرعي,Pusher,דוֹחֵף,Толкатель,Poussoir
إيان,Ian,איאן,Ян,Ian
ظƒظ,Z ƒ z,Z ƒ z,Z ƒ z,Z ƒ z
كُنّا,We were,היינו,Мы были,Nous étions
ف,F,ג,Фон,F
يخطط,Plan,לְתַכְנֵן,План,Plan
ياصاح,Hey shouted,היי צעק,"Эй, крикнул",Hey crié
سيف,sword,חֶרֶב,меч,épée
ملائم,suitable,מַתְאִים,подходящий,adapté
العمال,Laborers,עובדים,Рабочие,Ouvriers
قالَ,He said,אמר,Он сказал,Il a dit
المثالية,Idealism,אידיאליזם,Идеализм,Idéalisme
إنتبه,I notice,שמתי לב,я заметил,je remarque
وانه,And that,וזה,И это,Et cela
يرجى,Please,אנא,Пожалуйста,S'il te plaît
رقص,Dance,לִרְקוֹד,Танец,Danse
التدخل,Intervention,התערבות,Вмешательство,Intervention
الفدرالي,federal,פדרלי,федеральный,fédéral
جنازة,Funeral,הַלוָיָה,Похороны,Funérailles
تحصلي,Get,לקבל,Получать,Obtenir
مخزن,Store,חנות,Магазин,Magasin
اقترب,Approach,גִישָׁה,Подход,Approche
الموسيقية,Musician,מוּסִיקָאִי,Музыкант,Musicien
سنموت,We will die,אנחנו נמות,Мы умрем,Nous mourrons
يحبني,He loves me,הוא אוהב אותי,Он любит меня,Il m'aime
بالبرد,Cold,קַר,Холодный,Froid
غيبز,Gypsum,גֶבֶס,Гипс,Gypse
بحيرة,lake,אֲגַם,озеро,lac
الأيدي,the hands,הידיים,руки,les mains
ساخنة,Hot,חַם,Горячий,Chaud
القوم,People,אֲנָשִׁים,Люди,Personnes
سألتني,You asked me,אתה שאלת אותי,Ты спросил меня,Tu m'as demandé
بأنكم,That is,זה,То есть,C'est
قررنا,We decided,החלטנו,Мы решили,Nous avons décidé
المشاركة,Participation,הִשׁתַתְפוּת,Участие,Participation
فأن,That,זֶה,Что,Ce
نيد,Ted,טד,Тед,Gâter
تجدي,Stretch,לִמְתוֹחַ,Потягиваться,Extensible
سلة,Basket,סַל,Корзина,Panier
جعلها,Make it,לעשות את זה,Сделай это,Fais-le
مخطئاً,Error,שְׁגִיאָה,Ошибка,Erreur
أجده,I find it,מצאתי את זה,я нашел это,je l'ai trouvé
حرة,Free,חינם,Бесплатно,Gratuit
الساحر,the magician,הקוסם,Маг,le magicien
لـن,Lin,לין,Линейный,Lin
يثق,trust,אמון,доверять,confiance
الدولارات,Dollars,דולרים,Доллары,Dollar
الصعود,Boarding,עֲלִייָה לַמָטוֹס,Посадка,Embarquement
اتجاه,direction,כיוון,направление,direction
البرية,Wilderness,מִדבָּר,Пустыня,Région sauvage
غرب,West,מַעֲרָב,Западный,Ouest
صالة,Hall,אולם,Зал,Entrée
براندون,Brandon,ברנדון,Брэндон,Brandon
بروكلين,Brooklyn,ברוקלין,Бруклин,Brooklyn
العد,count,לספור,считать,compter
السكان,Population,אוּכְלוֹסִיָה,Население,La population
فستان,dress,שמלה,одеваться,robe
جوناثان,Jonathan,ג'ונתן,Джонатан,Jonathan
اعدك,I promise you,אני מבטיח לך,я обещаю тебе,Je te promets
.من,.from,.מ,.от,.depuis
حالها,Prevented,מונע,Предотвращено,Empêché
أمكِ,Your mother,אמא שלך,Ваша мать,Ta mère
فربما,Perhaps,אוּלַי,Возможно,Peut-être
حاد,sharp,חַד,острый,pointu
الذرة,Maize,תִירָס,Кукуруза,Maïs
راج,Rag,סְמַרטוּט,Тряпичный,Chiffon
طھظ,Outbreak,התפרצות,Вспышка,Épidémie
عثر,Be found,להימצא,Быть найденным,Être trouvé
ضربات,Stroke,שבץ,Гладить,Accident vasculaire cérébral
أتي,came,בא,пришел,est venu
كارلا,Carla,קרלה,Карла,Carla
الإهتمام,interest,ריבית,интерес,intérêt
الصحة,the health,הבריאות,Здоровье,la santé
الاستخبارات,Intelligence,אינטליגנציה,Интеллект,Intelligence
مشاعرك,Your feelings,הרגשות שלך,Ваши чувства,Tes sentiments
الأثناء,Mere,סְתָם,Всего лишь,Simple
سأترك,I will leave,אני אעזוב,я оставлю,je vais partir
لثلاثة,Three,שְׁלוֹשָׁה,Три,Trois
الفطائر,Pies,פשטידות,Пироги,Tartes
كافٍ,Adequate,נאות,Адекватный,Adéquat
ذوي,Domesticated,מְבוּיָת,Одомашненное,Domestiqué
إياك,do not you dare,אל תעז,не смей,N'osez-vous pas
أره,See it,לראות את זה,Видеть это,Voir
محزن,depressing,מְדַכֵּא,удручающий,déprimant
دقيق,precise,מְדוּיָק,точный,précis
باهر,Impressive,מרשימים,Впечатляющий,Impressionnant
كُنتُ,I was,הייתי,Я был,J'étais
جناح,wing,אֲגַף,крыло,aile
عرفته,I knew it,ידעתי,Я знал это,je le savais
بشري,Human,בן אנוש,Человек,Humain
تنظري,Theoretical,תֵאוֹרֵטִי,Теоретический,Théorique
المعرض,Exhibition,תערוכה,Выставка,Exposition
بوارو,Poiro,Poiro,Пуаро,Poiro
لص,thief,גנב,вор,voleur
شبه,Same,אותו,Такой же,Même
سيبدأ,It will start,זה יתחיל,Это начнется,Ça va commencer
نسيان,amnesia,שִׁכחָה,амнезия,amnésie
الخيارات,Options,אפשרויות,Параметры,Options
النووية,Nuclear,גַרעִינִי,Ядерный,Nucléaire
تفكير,thinking,חושב,мышление,pensée
تفكري,Thinking,חושב,Мышление,Pensée
ومتى,And when,ומתי,И когда,Et quand
بولي,Poly,פולי,Поли,Poly
مغفل,stupid,מְטוּפָּשׁ,глупый,stupide
أرادوا,They wanted,הם רצו,Они хотели,Ils voulaient
تارا,Tara,טרה,Тара,Tara
التمثيل,the acting,המשחק,действия,le jeu
للروعة,For the splendor,להדר,Для великолепия,Pour la splendeur
سأصبح,I will become,אני אהיה,я стану,Je deviendrai
القط,Cat,חתול,Кот,Chat
أريدكم,I want you,אני רוצה אותך,Я хочу тебя,Je te veux
كيث,Keith,קית ',Кит,Keith
جونغ,Jong,ג'ונג,Чон,Jong
قطة,cat,חתול,кот,chat
لأنى,because I am,כי אני,потому что я,parce que je suis
القطة,Cat,חתול,Кот,Chat
جلست,She sat,היא ישבה,Она Суббота,Elle s'asseyait
بحال,In any way,בכל דרך,В любом случае,De quelque manière que
حوالى,around,סְבִיב,вокруг,autour
القمة,the top,החלק העליון,вершина,haut
فورد,Ford,לַחֲצוֹת,Форд,Gué
فأنتِ,You are,אתה,Ты,Tu es
فو,In,ב,В,Dans
أسمك,your name,שמך,Ваше имя,votre nom
أمنية,a wish,משאלה,желание,un souhait
يساعدك,Help you,עוזר לך,Помочь тебе,T'aider
بطولة,championship,אַלִיפוּת,чемпионат,championnat
نام,he slept,הוא ישן,он спал,il dormait
فور,Immediately,מיד,Немедленно,Immédiatement
تفضلوا,Please,אנא,Пожалуйста,S'il te plaît
السجناء,Prisoners,אסירים,Заключенные,Les prisonniers
منطقياً,Logically,באופן הגיוני,Логически,Logiquement
أينَ,where,איפה,где,où
حقيقةً,fact,עוּבדָה,факт,fait
سبتمبر,September,ספטמבר,Сентябрь,Septembre
دافع,defend,לְהַגֵן,защищать,défendre
ضدي,Against,מול,Против,Contre
حراس,guards,שומרים,охранники,gardes
يقدر,appreciate,מעריך,ценить,apprécier
تشعري,Lemon,לימון,Лимон,Citron
تعتني,Take care of,לטפל,Заботиться,Prendre soin de
عيناك,Your eyes,העיניים שלך,Твои глаза,Tes yeux
الزر,the button,הכפתור,кнопка,le bouton
العلامة,Brand,מותג,Бренд,Marque
سيجعل,It will make,זה יעשה,Это сделает,Cela fera
المعدات,hardware,חוּמרָה,аппаратное обеспечение,matériel
أتتذكر,I remember,אני זוכר,Я помню,Je me souviens
أزمة,crisis,מַשׁבֵּר,кризис,crise
بيّ,with me,איתי,со мной,avec moi
اقتل,Kill,לַהֲרוֹג,Убийство,Tuer
المخزن,The store,החנות,Магазин,Le magasin
قدمك,Feet,רגליים,Ноги,Pieds
ممتعا,Enjoyable,מְהַנֶה,Приятный,Agréable
إلغاء,cancellation,ביטול,отмена,annulation
القبعة,the hat,הכובע,шляпа,le chapeau
ثلاثه,three,שלושה,три,trois
نظن,Were,היו,Были,Étaient
بقعة,spot,לְזַהוֹת,место,place
بجنون,insanely,בטירוף,безумно,incroyablement
احدا,Anyone,כֹּל אֶחָד,Любой,N'importe qui
تدين,Condemn,לְגַנוֹת,Осуждать,Condamner
إقامة,Accommodation,דִיוּר,Размещение,Hébergement
الزبائن,customers,לקוחות,клиенты,clients
السحرية,Magic,קֶסֶם,Магия,la magie
السم,Poison,רַעַל,Яд,Poison
احترس,watch out,היזהר,осторожно,attention
أحلام,dreams,חלומות,мечты,rêves
جانبا,Aside,בַּצַד,В стороне,De côté
بينيت,Bennett,בנט,Беннетт,Bennett
قراري,Decree,צו,Указатель,Décret
مضطرة,Obligatory,הֶכְרֵחִי,Обязательный,Obligatoire
تتعلق,Related,קָשׁוּר,Связанный,En rapport
ربع,a fourth,רבע,четвертый,un quatrième
بعملية,Operation,מבצע,Операция,Opération
جيدين,Good,טוֹב,Хороший,Bien
البرج,the tower,המגדל,башня,la tour
صحة,health,בריאות,здоровье,santé
الاعتراف,Confession,הוֹדָאָה,Признание,Confession
الذهبية,Golden,זָהוּב,Золотой,Doré
لترى,To see,לראות,Чтобы увидеть,Voir
حفظ,save,להציל,сохранять,sauvegarder
طرح,Subtract,להחסיר,Вычтите,Soustraire
موتى,Dead,מֵת,Мертвый,Mort
لدية,he have,יש לו,у него есть,il a
يتحول,turns up,מופיע,оказаться,se présente
ابنته,His daughter,הבת שלו,Его дочь,Sa fille
شقيق,brother,אָח,брат,frère
جرس,bell,פַּעֲמוֹן,колокол,cloche
غيره,jealousy,קנאה,Ревность,jalousie
سهلا,Easy,קַל,Легкий,Facile
شيك,check,חשבון,проверять,vérifier
لإطلاق,To launch,לשגר,Запускать,Lancer
المدرسه,the school,בית הספר,школа,l'école
بالراحة,quietly,בְּשֶׁקֶט,тихо,tranquillement
بنهاية,At the end,בסופו של דבר,В конце,À la fin
القتلة,the killers,הרוצחים,убийцы,Les tueurs
الانضمام,Join,לְהִצְטַרֵף,Присоединиться,Rejoindre
امم,Nations,אומות,Народы,Nations
عقب,after,לאחר,после,après
الآلاف,Thousands,אלפים,Тысячи,Milliers
اسابيع,Weeks,שבועות,Недели,Semaines
نموذج,model,דֶגֶם,модель,modèle
أعلمُ,Know,לָדַעַת,Знать,Savoir
يقتلني,killing me,הורג אותי,Убей меня,me tue
بغرابة,oddly,בְּאֹפֶן מוּזַר,странно,bizarrement
هال,Hill,גִבעָה,Холм,Colline
ج,C,ג,В,C
أسطورة,legend,אגדה,легенда,légende
رالف,Riven,קָרוּעַ,РИВЕН,Déchiré
لايزال,still,עדיין,все еще,toujours
الأخت,Sister,אָחוֹת,Сестра,Sœur
كروز,Cruise,לְשַׁיֵט,Круиз,Croisière
الأتصال,Connection,חיבור,Связь,Connexion
ينفع,Benefit,תועלת,Выгода,Avantage
دوايت,Dwit,DWIT,Двит,Faire une contrepartie
لغرفة,For a room,לחדר,Для комнаты,Pour une chambre
خسر,Lost,אָבֵד,Потерянный,Perdu
صغيري,my little,הקטן שלי,мой маленький,mon petit
تبتعد,Turn away,לְהַרְחִיק,Отвернуться,Faire demi-tour
نريده,We want it,אנחנו רוצים את זה,Мы этого хотим,Nous le voulons
رجلك,Your leg,הרגל שלך,Ваша нога,Ta jambe
مجنوناً,Crazy,מְטוּרָף,Сумасшедший,Fou
فريقي,my team,הקבוצה שלי,моя команда,mon équipe
بعناية,Carefully,בקפידה,Осторожно,Soigneusement
الأوّل,the first,הראשון,первый,la première
بمقابلتك,By meeting you,על ידי לפגוש אותך,Встретившись с вами,En vous rencontrant
أيمكنكِ,You can,אתה יכול,Ты можешь,Tu peux
يَذْهبُ,He goes,הוא הולך,Он идет,Il va
اتركني,Leave me,עזוב אותי,Оставь меня,Laisse-moi
تجيب,Answer,תשובה,Отвечать,Répondre
الفهم,Understanding,הֲבָנָה,Понимание,Compréhension
سيئه,Bad,רַע,Плохой,Mauvais
تحدثي,Talk,דבר,Разговаривать,Parler
مزيفة,Fake,מְזוּיָף,Фальшивый,Faux
عصا,a stick,מקל,палка,un baton
ياصديقي,My friend,חברי,Мой друг,Mon ami
ارغب,I want,אני רוצה,Я хочу,Je veux
لازالت,It is still,זה עדיין,Это все еще,Il est encore
فتيان,Boys,בנים,Мальчики,Garçons
عالمي,worldwide,עוֹלָמִי,Мировой,mondial
بالمر,Pasture,מִסְפּוֹא,Пастбище,Pâturage
تقرر,Decide,לְהַחלִיט,Решать,Décider
يفلح,Lashes,ריסים,Ресницы,Cils
خائفا,Frightened,מבוהל,Испуганный,Effrayé
العروس,the bride,הכלה,невеста,la mariée
بالـ,Bal,BAL,Бал,Balle
والدتها,Her mother,אמא שלה,Ее мать,Sa mère
الإحترام,Respect,הערכה,Уважать,Respect
مصاصي,Voic,קולי,Голосовой,VOIC
للتأكد,To make sure,לוודא,Чтобы убедиться,Assurer
أمريكية,American,אֲמֶרִיקָאִי,Американец,Américain
الأثنين,Monday,שני,Понедельник,Lundi
ولدينا,We have,יש לנו,У нас есть,Nous avons
الأسباب,the reasons,הסיבות,причины,les raisons
نتناول,We eat,אנחנו אוכלים,Мы едим,Nous mangeons
هائل,enormous,עֲנָקִי,громадный,énorme
الأسماك,Fish,דג,Рыба,Poisson
أحدًا,Anyone,כֹּל אֶחָד,Любой,N'importe qui
رجعت,get back,לַחֲזוֹר,вернуться,revenir
بالمدرسة,School,בית ספר,Школа,École
المملكة,The kingdom,הממלכה,Королевство,Le Royaume
بارعة,Brilliant,מַברִיק,Блестящий,Brillant
بشعور,Feeling,מַרגִישׁ,Чувство,Sentiment
مركبة,vehicle,רכב,транспортное средство,véhicule
لايجب,Must not,אסור,Не должен,Ne doit pas être
لأفعل,To do,לעשות,Делать,Faire
شجاع,brave,אַמִיץ,храбрый,braver
الميدان,Field,שדה,Поле,Champ
تعتقدون,You think,אתה חושב,Вы думаете,Tu penses
اهدئي,Calm,לְהַרְגִיעַ,Спокойствие,Calme
ليف,fiber,סִיב,волокно,fibre
الفلم,Film,סרט צילום,Фильм,Film
سياسة,Policy,פוליטיקה,Политика,Politique
تتحول,Shift,מִשׁמֶרֶת,Сдвиг,Changement
تصدقني,You believe me,אתה מאמין לי,Ты веришь мне,Tu me crois
التجارب,Experiments,ניסויים,Эксперименты,Expériences
مسح,to survey,לסקר,делать обзор,faire un sondage
مفاجئة,Surprise,הַפתָעָה,Сюрприз,Surprendre
فهناك,There,שם,Там,Là
مقاومة,resistance,הִתנַגְדוּת,сопротивление,résistance
فك,Dismantle,לְפַרֵק,Демонтировать,Démanteler
غيبوبة,coma,תרדמת,кома,coma
المجانين,the crazy ones,המשוגעים,сумасшедшие,les fous
متحمسة,Enthusiastic,נלהב,Энтузиазм,Enthousiaste
اجلب,Bring,לְהָבִיא,Приносить,Apporter
الصدمة,Shock,הֶלֶם,Шок,Choc
السلالم,the stairs,המדרגות,лестница,les escaliers
سراحه,Excuse,סְלִיחָה,Извинение,Excuse
العطلة,Holiday,חַג,Праздничный день,Vacances
دمرت,I destroyed,אני הרסתי,Я уничтожил,j'ai détruit
خطورة,Danger,סַכָּנָה,Опасность,Danger
نقدم,We offer,אנחנו מציעים,Мы предлагаем,Nous offrons
أمتلك,Possess,לְהַחזִיק,Владеть,J ai
نايت,Knight,אַבִּיר,Рыцарь,Chevalier
حقل,field,שדה,поле,champ
تطير,Fly,"לטוס, זבוב",Летать,Voler
بالبيت,At home,בבית,Дома,À la maison
جريج,Greg,גרג,Грег,Greg
مرضى,Patients,חולים,Пациенты,Les patients
قوياً,Strongly,בְּתוֹקֶף,Сильно,Fortement
الساحة,Arena,זִירָה,Арена,Arène
اريده,I want,אני רוצה,Я хочу,Je veux
للحفاظ,To preserve,לשמר,"Консервировать, сохранять",Conserver
وشم,tattoo,לְקַעֲקֵעַ,татуировка,tatouage
الخلايا,Cells,תאים,Ячейки,Cellules
ربطة,Tie,עניבה,Галстук,Cravate
مسؤولية,responsible,אחריות,ответственный,responsable
الهبوط,Decline,יְרִידָה,Отклонить,Déclin
لتغيير,To change,לשנות,Изменить,Changer
رسمية,Official,רשמי,Официальный,Officiel
أستيقظ,I wake up,אני מתעורר,Я просыпаюсь,je me réveille
فكرتك,Your idea,רעיון שלך,Твоя идея,Ton idée
وستكون,And it will be,וזה יהיה,И это будет,Et ce sera
خلفنا,Leave us,עזוב אותנו,Оставь нас,Laisse nous
.حسناً,.Good,.בסדר,.Хороший,.Bien
امريكا,America,אמריקה,Америка,Amérique
يَكُونُ,He is,יהיה,Он,Il est
آرون,Aaron,אהרון,Аарон,Aaron
ترفض,Reject,לִדחוֹת,Отклонять,Rejeter
أزرق,blue,כחול,синий,bleu
الروك,Rock,סלע,Камень,Osciller
الرعب,the horror,האימה,ужас,l'horreur
أمكنك,You can,אתה יכול,Ты можешь,Tu peux
كلاوس,Klaus,קלאוס,Клаус,Klaus
امس,yesterday,אתמול,вчера,hier
التحية,Salute,הַצדָעָה,Отдать честь,Saluer
ضيق,narrow,צר,узкий,étroit
تماسك,hang in there,תחזיקי מעמד,повесить там,accrocher
متورط,involved,מְעוּרָב,вовлеченный,impliqué
بدل,instead,במקום,вместо,plutôt
